iCliniq Google Search Ads  ·  P2 · Stage 1  ·  25 Keywords  ·  3 Ad Copies,,,,,,,,,,,,,
URL: icliniq.com/articles/cancer/stage-1-endometrial-cancer,,,,,,,,,,,,,
"Campaign: Endometrial Cancer: Stage 1   |   Display Path: Cancer/Articles / Stage-1-Cancer   |   Budget: ₹2,000/day   |   Bid: Maximize Clicks   |   Geo: All USA",,,,,,,,,,,,,
"⚡ Ahrefs: 'stage 1 uterine cancer' (500 vol, TP 1,100) outperforms 'stage 1 endometrial cancer' (250 vol, TP 400). 'endometrial cancer staging' (1,100 vol, KD 9) = easiest high-volume win. Tone = reassuring. 90%+ survival rate is the primary hook.",,,,,,,,,,,,,
,,,,,,,,,,,,,
A · KEYWORDS  (25 total · Real Ahrefs USA Data · Phrase + Exact Match · All unique across all 5 pages),,,,,,,,,,,,,
#,Keyword,Match,Tier,Vol/mo US,Global Vol,CPC (USD),CPC (INR),KD,Traffic Pot.,Priority,YMYL Safe?,Bid Strategy,Intent
1,stage 1 uterine cancer,Exact,T1,500,-,$150,₹12525,19,"1,100",🔴 High,✅ Yes,Maximize Clicks,Informational
2,stage 1 endometrial cancer,Exact,T1,250,-,$90,₹7515,12,400,🔴 High,✅ Yes,Maximize Clicks,Informational
3,stage 1 uterine cancer survival rate,Exact,T1,150,-,$60,₹5010,36,600,🔴 High,✅ Yes,Maximize Clicks,Informational
4,stage 1 uterine cancer treatment,Exact,T1,250,-,$250,₹20875,20,600,🔴 High,✅ Yes,Maximize Clicks,Informational
5,endometrial cancer staging,Exact,T1,1100,-,$140,₹11690,9,"1,400",🔴 High,✅ Yes,Maximize Clicks,Informational
6,stage 1 uterine cancer symptoms,Exact,T2,150,-,$60,₹5010,6,"33,000",🟡 Medium,✅ Yes,Maximize Clicks,Informational
7,stage 1 endometrial cancer symptoms,Exact,T2,80,-,$110,₹9185,15,400,🟡 Medium,✅ Yes,Maximize Clicks,Informational
8,stage 1 endometrial cancer recurrence rate,Exact,T2,60,-,$300,₹25050,0,10,🟡 Medium,✅ Yes,Maximize Clicks,Informational
9,stage 1 hysteroscopy endometrial cancer,Exact,T3,150,-,$45,₹3757,1,60,🟢 Test,✅ Yes,Maximize Clicks,Informational
10,stage 1 endometrial cancer ultrasound,Exact,T3,100,-,$250,₹20875,3,"2,500",🟢 Test,✅ Yes,Maximize Clicks,Informational
11,uterine cancer treatment stage 1,Exact,T3,60,-,-,-,24,500,🟢 Test,✅ Yes,Maximize Clicks,Informational
12,stage 1 endometrial cancer,Phrase,T1,250,-,$90,₹7515,12,400,🔴 High,✅ Yes,Maximize Clicks,Informational
13,stage 1 uterine cancer,Phrase,T1,500,-,$150,₹12525,19,"1,100",🔴 High,✅ Yes,Maximize Clicks,Informational
14,stage 1 uterine cancer treatment,Phrase,T1,250,-,$250,₹20875,20,600,🔴 High,✅ Yes,Maximize Clicks,Informational
15,stage 1 uterine cancer survival rate,Phrase,T1,150,-,$60,₹5010,36,600,🔴 High,✅ Yes,Maximize Clicks,Informational
16,endometrial cancer staging,Phrase,T1,1100,-,$140,₹11690,9,"1,400",🔴 High,✅ Yes,Maximize Clicks,Informational
17,stage 1 uterine cancer symptoms,Phrase,T2,150,-,$60,₹5010,6,"33,000",🟡 Medium,✅ Yes,Maximize Clicks,Informational
18,stage 1 endometrial cancer symptoms,Phrase,T2,80,-,$110,₹9185,15,400,🟡 Medium,✅ Yes,Maximize Clicks,Informational
19,uterine cancer stage 1,Phrase,T2,90,-,$120,₹10020,13,"1,200",🟡 Medium,✅ Yes,Maximize Clicks,Informational
20,stage 1 endometrial cancer recurrence rate,Phrase,T3,60,-,$300,₹25050,0,10,🟢 Test,✅ Yes,Maximize Clicks,Informational
21,stage 1 endometrial cancer ultrasound,Phrase,T3,100,-,$250,₹20875,3,"2,500",🟢 Test,✅ Yes,Maximize Clicks,Informational
22,stage 1 hysteroscopy endometrial cancer,Phrase,T3,150,-,$45,₹3757,1,60,🟢 Test,✅ Yes,Maximize Clicks,Informational
23,uterine cancer treatment stage 1,Phrase,T3,60,-,-,-,24,500,🟢 Test,✅ Yes,Maximize Clicks,Informational
24,uterine cancer stage 1,Exact,T2,90,-,$120,₹10020,13,"1,200",🟡 Medium,✅ Yes,Maximize Clicks,Informational
25,stage 1a endometrial cancer,Phrase,T3,200,-,$250,₹20875,1,400,🟢 Test,✅ Yes,Maximize Clicks,Informational
NEG,stage 2 | stage 3 | stage 4 | metastatic | free treatment | clinical trial | home remedy | wikipedia | insurance | jobs | ovarian cancer | cervical cancer | endometriosis,,,,,,,,,,,,
,,,,,,,,,,,,,
  AD 1 of 3  ·  Ad 1 - Newly Diagnosed  ·  Angle: Patients just received a Stage 1 diagnosis - need clarity  ·  YMYL: Clinical/informational · No cure claims · No fear tactics,,,,,,,,,,,,,
  HEADLINES  (15 total · H1 H2 H3 = Pinned across all ads · H4–H15 = Unique to this ad · All ≤30 chars · YMYL + CTR optimised),,,,,,,,,,,,,
#,Headline,,,,,,,,,,,Pin,Chars
1,Stage 1 Endometrial Cancer,,,,,,,,,,,📌 P1,26✅
2,Oncologist-Written Guide,,,,,,,,,,,📌 P2,24✅
3,Free Article - Read Now,,,,,,,,,,,📌 P3,23✅
4,Just Diagnosed? Start Here,,,,,,,,,,,,26✅
5,Stage 1A and 1B Explained,,,,,,,,,,,,25✅
6,90%+ Survival - What It Means,,,,,,,,,,,,29✅
7,Surgery Options at Stage 1,,,,,,,,,,,,26✅
8,What to Expect After Diagnosis?,,,,,,,,,,,,30✅
9,Early-Stage Cancer - The Facts,,,,,,,,,,,,30✅
10,Trusted by 5M+ Patients,,,,,,,,,,,,23✅
11,Hysterectomy - What to Know,,,,,,,,,,,,27✅
12,Prognosis After Stage 1,,,,,,,,,,,,23✅
13,"18,000+ Verified Doctors",,,,,,,,,,,,24✅
14,iCliniq - Free Cancer Guides,,,,,,,,,,,,28✅
15,Read Before Your Next Visit,,,,,,,,,,,,27✅
,,,,,,,,,,,,,
  CTR STRATEGY: H1=keyword match (T1 primary kw) · H2=E-E-A-T trust signal · H3=low-friction CTA · H4–H6=benefit/angle specific · H7–H9=credibility · H10–H12=supporting value · H13–H15=rotation variants,,,,,,,,,,,,,
,,,,,,,,,,,,,
  DESCRIPTIONS  (4 total · All ≤90 chars · Unique to this ad · YMYL-compliant clinical framing · High-CTR structure),,,,,,,,,,,,,
#,,Description Text (max 90 chars · YMYL clinical tone · factual · no cure claims · no fear),,,,,,,,,,Chars,OK?
D1,Stage 1 endometrial cancer is confined to the uterus — the most treatable stage. Free.,,,,,,,,,,,87,✅ OK
D2,"5-year survival above 90% for Stage 1. Free oncologist guide covers staging and surgery.",,,,,,,,,,,89,✅ OK
D3,"Hysterectomy, brachytherapy, hormone therapy — Stage 1 treatments clearly explained.",,,,,,,,,,,85,✅ OK
D4,Just diagnosed with Stage 1 uterine cancer? Free doctor-reviewed guide for what's next.,,,,,,,,,,,88,✅ OK
  D1=what article covers (keyword match) · D2=credibility/trust (E-E-A-T) · D3=specific angle for this ad group · D4=secondary audience (caregiver or survival or treatment),,,,,,,,,,,,,
,,,,,,,,,,,,,
  AD 2 of 3  ·  Ad 2 - Survival Rate Focus  ·  Angle: Patients researching 5-year survival and prognosis  ·  YMYL: Clinical/informational · No cure claims · No fear tactics,,,,,,,,,,,,,
  HEADLINES  (15 total · H1 H2 H3 = Pinned across all ads · H4–H15 = Unique to this ad · All ≤30 chars · YMYL + CTR optimised),,,,,,,,,,,,,
#,Headline,,,,,,,,,,,Pin,Chars
1,Stage 1 Endometrial Cancer,,,,,,,,,,,📌 P1,26✅
2,Oncologist-Written Guide,,,,,,,,,,,📌 P2,24✅
3,Free Article - Read Now,,,,,,,,,,,📌 P3,23✅
4,5-Year Survival Rate: 90%+,,,,,,,,,,,,26✅
5,Stage 1A vs 1B: Key Differences,,,,,,,,,,,,30✅
6,Recurrence Risk at Stage 1,,,,,,,,,,,,26✅
7,Long-Term Outcomes Explained,,,,,,,,,,,,28✅
8,Survival Stats - Plain English,,,,,,,,,,,,30✅
9,Based on Real Population Data,,,,,,,,,,,,29✅
10,Stage 1 Prognosis - The Data,,,,,,,,,,,,28✅
11,No Jargon Survival Guide,,,,,,,,,,,,24✅
12,Endometrial Ca Staging Guide,,,,,,,,,,,,28✅
13,Oncology Stats Explained,,,,,,,,,,,,24✅
14,Compare Stage 1A vs 1B Risk,,,,,,,,,,,,27✅
15,iCliniq - Trusted Health Info,,,,,,,,,,,,29✅
,,,,,,,,,,,,,
  CTR STRATEGY: H1=keyword match (T1 primary kw) · H2=E-E-A-T trust signal · H3=low-friction CTA · H4–H6=benefit/angle specific · H7–H9=credibility · H10–H12=supporting value · H13–H15=rotation variants,,,,,,,,,,,,,
,,,,,,,,,,,,,
  DESCRIPTIONS  (4 total · All ≤90 chars · Unique to this ad · YMYL-compliant clinical framing · High-CTR structure),,,,,,,,,,,,,
#,,Description Text (max 90 chars · YMYL clinical tone · factual · no cure claims · no fear),,,,,,,,,,Chars,OK?
D1,Stage 1 endometrial cancer has a 5-year survival rate above 90%. Free oncologist guide.,,,,,,,,,,,88,✅ OK
D2,What does Stage 1A vs 1B mean for your prognosis? Free oncologist-reviewed. No login.,,,,,,,,,,,86,✅ OK
D3,Understand recurrence risk and long-term outcomes for Stage 1 uterine cancer. Free.,,,,,,,,,,,84,✅ OK
D4,iCliniq explains Stage 1 survival rates in plain English. Medically reviewed. Free.,,,,,,,,,,,84,✅ OK
  D1=what article covers (keyword match) · D2=credibility/trust (E-E-A-T) · D3=specific angle for this ad group · D4=secondary audience (caregiver or survival or treatment),,,,,,,,,,,,,
,,,,,,,,,,,,,
  AD 3 of 3  ·  Ad 3 - Treatment Options  ·  Angle: Patients researching surgery and radiation options  ·  YMYL: Clinical/informational · No cure claims · No fear tactics,,,,,,,,,,,,,
  HEADLINES  (15 total · H1 H2 H3 = Pinned across all ads · H4–H15 = Unique to this ad · All ≤30 chars · YMYL + CTR optimised),,,,,,,,,,,,,
#,Headline,,,,,,,,,,,Pin,Chars
1,Stage 1 Endometrial Cancer,,,,,,,,,,,📌 P1,26✅
2,Oncologist-Written Guide,,,,,,,,,,,📌 P2,24✅
3,Free Article - Read Now,,,,,,,,,,,📌 P3,23✅
4,Surgery Options for Stage 1,,,,,,,,,,,,27✅
5,Hysterectomy - Step by Step,,,,,,,,,,,,27✅
6,Brachytherapy at Stage 1,,,,,,,,,,,,24✅
7,Hormone Therapy Explained,,,,,,,,,,,,25✅
8,Radiation for Stage 1 Cancer,,,,,,,,,,,,28✅
9,Full Stage 1 Treatment Guide,,,,,,,,,,,,28✅
10,What Comes After Surgery?,,,,,,,,,,,,25✅
11,Follow-Up Care - Stage 1,,,,,,,,,,,,24✅
12,Recovery After Hysterectomy,,,,,,,,,,,,27✅
13,"18,000+ Cancer Specialists",,,,,,,,,,,,26✅
14,Stage 1 Treatment Deep Dive,,,,,,,,,,,,27✅
15,Free. No Ads. No Login.,,,,,,,,,,,,23✅
,,,,,,,,,,,,,
